,bedrooms,bathrooms,price,neighbourhood_cleansed,property_type,zestimate,ROI
80,2,1.5,164.0,Milpitas,Townhouse,1172791.0,-0.9487889923516404
81,2,1.5,174.0,Palo Alto,Condominium,2692264.0,-0.9763314473102687
82,1,2.0,275.0,San Jose,Condominium,1335328.0,-0.9245802938582615
83,3,2.0,224.0,San Jose,Townhouse,636820.0,-0.8711835217528279
84,3,2.5,259.0,Milpitas,Condominium,1018215.0,-0.9068462438537517
85,1,1.0,70.0,San Jose,Condominium,1203841.0,-0.978705423495149
86,4,2.5,287.0,Campbell,Townhouse,1502662.0,-0.9300543531917871
87,2,1.0,229.0,Mountain View,Condominium,1587211.0,-0.9471626636841391
88,2,1.5,149.0,Milpitas,Townhouse,621991.0,-0.9122711845198433
89,3,3.5,248.0,San Jose,Townhouse,918078.0,-0.901073601589474
90,2,1.5,150.0,Milpitas,Townhouse,744281.0,-0.9261935317224381
91,1,1.0,175.0,Mountain View,Condominium,2256883.0,-0.9716032197125679
92,2,2.0,121.0,Santa Clara,Townhouse,1469152.0,-0.9698380971065979
93,3,2.5,225.0,Milpitas,Townhouse,1114144.0,-0.9260426587369873
94,2,2.0,189.0,San Jose,Condominium,1631226.0,-0.9575685603709873
95,3,2.5,240.0,Campbell,Townhouse,1931477.0,-0.9544947192093163
96,2,1.0,66.0,San Jose,Townhouse,1392777.0,-0.9826458859623037
97,2,2.5,198.0,San Jose,Townhouse,659858.0,-0.8901108531513726
98,3,2.5,216.0,San Jose,Townhouse,1188967.0,-0.9334690004826268
99,2,1.5,100.0,Mountain View,Townhouse,1983852.0,-0.9815400369193897
100,2,1.0,150.0,Sunnyvale,Condominium,2062179.0,-0.9733617925426977
101,3,1.0,175.0,Cupertino,Condominium,3520829.0,-0.9817974088814195
102,2,1.0,143.0,Sunnyvale,Townhouse,1092483.0,-0.9520640379862437
103,3,2.5,271.0,Sunnyvale,Townhouse,1486380.0,-0.9332302829856836
104,3,3.5,165.0,San Jose,Townhouse,1009036.0,-0.9401150928037243
105,1,1.0,175.0,Palo Alto,Condominium,3598893.0,-0.9821922433688802
106,2,1.0,115.0,Santa Clara,Condominium,632889.0,-0.9334557720563891
