Rent,Neigh,latitude,longitude,Type,Zest,ROI,BPB
167.0,Neigh_North,37.406009999999995,-122.094,Townhouse,1010662.0,-0.9394867285885398,4
200.0,Neigh_South,37.28261,-121.83813,Condominium,539792.0,-0.8643113099957216,4
75.0,Neigh_North,37.37786,-122.06206,Townhouse,1448653.0,-0.9810400585868071,4
300.0,Neigh_North,37.40059,-121.95066000000001,Condominium,1411466.0,-0.9221621321149895,4
140.0,Neigh_North,37.395720000000004,-122.08945,Condominium,4649349.0,-0.9889725274337648,2
306.0,Neigh_North,37.40497,-122.09446000000001,Condominium,1324044.0,-0.9153632250039819,3
350.0,Neigh_North,37.45009,-122.16115,Condominium,1221755.0,-0.8950882776244979,4
180.0,Neigh_South,37.29841,-121.91338999999999,Condominium,1524389.0,-0.9567569023265645,4
150.0,Neigh_North,37.3961,-122.06168000000001,Townhouse,1876059.0,-0.9707190701272763,3
168.0,Neigh_South,37.302009999999996,-121.84085,Condominium,617608.0,-0.9003823100445215,4
300.0,Neigh_North,37.41377,-122.15428999999999,Townhouse,3394338.0,-0.9676327154124945,6
60.0,Neigh_South,37.39257,-121.86429,Townhouse,1134008.0,-0.9806235045904114,3
179.0,Neigh_North,37.36352,-122.02143000000001,Condominium,2104363.0,-0.9688489656620382,3
145.0,Neigh_North,37.32942,-121.99573999999998,Townhouse,1832188.0,-0.9710173517770979,4
164.0,Neigh_North,37.41449,-121.88908,Townhouse,1172791.0,-0.9487889923516404,4
174.0,Neigh_North,37.42812,-122.14171999999999,Condominium,2692264.0,-0.9763314473102687,4
275.0,Neigh_South,37.34218,-121.89232,Condominium,1335328.0,-0.9245802938582615,3
224.0,Neigh_South,37.375840000000004,-121.8518,Townhouse,636820.0,-0.8711835217528279,5
259.0,Neigh_North,37.4143,-121.88882,Condominium,1018215.0,-0.9068462438537517,5
70.0,Neigh_South,37.386340000000004,-121.85566000000001,Condominium,1203841.0,-0.978705423495149,2
229.0,Neigh_North,37.41219,-122.09244,Condominium,1587211.0,-0.9471626636841391,3
149.0,Neigh_North,37.440670000000004,-121.8784,Townhouse,621991.0,-0.9122711845198433,4
150.0,Neigh_North,37.419129999999996,-121.87584,Townhouse,744281.0,-0.9261935317224381,4
175.0,Neigh_North,37.40425,-122.10316,Condominium,2256883.0,-0.9716032197125679,2
121.0,Neigh_North,37.35942,-121.96523,Townhouse,1469152.0,-0.9698380971065979,4
225.0,Neigh_North,37.42217,-121.90924,Townhouse,1114144.0,-0.9260426587369873,5
189.0,Neigh_South,37.311840000000004,-121.93891,Condominium,1631226.0,-0.9575685603709873,4
240.0,Neigh_South,37.26598,-121.98552,Townhouse,1931477.0,-0.9544947192093163,5
66.0,Neigh_South,37.308279999999996,-121.9286,Townhouse,1392777.0,-0.9826458859623037,3
198.0,Neigh_South,37.35331,-121.88938,Townhouse,659858.0,-0.8901108531513726,4
216.0,Neigh_South,37.38426,-121.8901,Townhouse,1188967.0,-0.9334690004826268,5
100.0,Neigh_North,37.39612,-122.06641,Townhouse,1983852.0,-0.9815400369193897,4
150.0,Neigh_North,37.364259999999994,-122.02193,Condominium,2062179.0,-0.9733617925426977,3
175.0,Neigh_South,37.32075,-122.03397,Condominium,3520829.0,-0.9817974088814195,4
143.0,Neigh_North,37.35487,-122.00111000000001,Townhouse,1092483.0,-0.9520640379862437,3
271.0,Neigh_North,37.40144,-122.0129,Townhouse,1486380.0,-0.9332302829856836,5
175.0,Neigh_North,37.44614,-122.1681,Condominium,3598893.0,-0.9821922433688802,2
115.0,Neigh_North,37.36936,-121.97445,Condominium,632889.0,-0.9334557720563891,3
239.0,Neigh_North,37.42173,-122.13515,Condominium,2605097.0,-0.966401947843411,4
172.0,Neigh_South,37.257059999999996,-121.84051000000001,Townhouse,716181.0,-0.9120479939496875,4
189.0,Neigh_North,37.32743,-121.97891000000001,Townhouse,1801861.0,-0.961586788581208,5
128.0,Neigh_North,37.363009999999996,-122.03121000000002,Townhouse,1299637.0,-0.9639315067306754,3
158.0,Neigh_South,37.311859999999996,-121.95148,Condominium,1975192.0,-0.9707053801401162,2
189.0,Neigh_North,37.40896,-121.89936999999999,Townhouse,920963.0,-0.924844681555854,4
150.0,Neigh_South,37.41261,-121.8542,Condominium,645669.0,-0.9149211871468321,3
220.0,Neigh_North,37.39397,-121.99758,Condominium,1621804.0,-0.9503219647440329,5
280.0,Neigh_North,37.45358,-121.90902,Condominium,1228829.0,-0.9165537783558939,5
150.0,Neigh_South,37.3628,-121.91367,Condominium,591988.0,-0.9072063082087947,2
250.0,Neigh_North,37.44382,-122.15281999999999,Townhouse,4859421.0,-0.981159363081839,4
150.0,Neigh_South,37.41437,-121.95855,Condominium,1524803.0,-0.9639738694007737,4
232.0,Neigh_South,37.30058,-121.93076,Townhouse,800723.0,-0.8938925740217831,4
78.0,Neigh_South,37.273540000000004,-121.84385,Townhouse,1226551.0,-0.9767110939142621,4
122.0,Neigh_North,37.36825,-121.97535,Condominium,1969408.0,-0.9773136707546524,3
255.0,Neigh_South,37.281690000000005,-121.85926,Condominium,798654.0,-0.8830711692079968,5
150.0,Neigh_North,37.34227,-121.97986000000002,Condominium,1444951.0,-0.9619829655011886,4
550.0,Neigh_South,37.317370000000004,-121.78764,Townhouse,998982.0,-0.7983746546727859,5
55.0,Neigh_South,37.27572,-121.84683999999999,Townhouse,888004.0,-0.9773176595234175,3
89.0,Neigh_North,37.39865,-122.06385,Townhouse,1004729.0,-0.9675599760105646,2
150.0,Neigh_South,37.282140000000005,-121.85803999999999,Townhouse,1033284.0,-0.946836734125282,4
250.0,Neigh_South,37.30772,-121.91644,Townhouse,900506.0,-0.898329842673467,6
275.0,Neigh_South,37.31392,-121.93997,Condominium,513454.0,-0.8038577061181031,4
148.0,Neigh_North,37.40849,-121.90716,Townhouse,1050634.0,-0.9484118015193262,5
209.0,Neigh_South,37.32248,-121.94771999999999,Condominium,631018.0,-0.8787045148066222,2
160.0,Neigh_North,37.33948,-121.98636,Condominium,1596609.0,-0.9633003850762262,4
189.0,Neigh_North,37.42017,-122.10803,Condominium,3022675.0,-0.9771013200095029,4
165.0,Neigh_South,37.231809999999996,-121.9046,Townhouse,1464987.0,-0.9587531990265434,3
175.0,Neigh_North,37.45221,-122.15503000000001,Condominium,3705646.0,-0.9827052528262439,4
199.0,Neigh_North,37.40207,-121.94981000000001,Townhouse,1445382.0,-0.9495791071093902,4
300.0,Neigh_North,37.410509999999995,-122.12133999999999,Townhouse,2249234.0,-0.9511542578352522,6
215.0,Neigh_North,37.4064,-122.11628999999999,Condominium,3246269.0,-0.9757454035520782,4
105.0,Neigh_South,37.384890000000006,-121.86027,Condominium,513336.0,-0.9250920909282332,4
230.0,Neigh_North,37.43115,-122.14313999999999,Condominium,2930261.0,-0.9712550452816292,4
350.0,Neigh_South,37.25713,-122.03643000000001,Condominium,998888.0,-0.8716808877763257,3
130.0,Neigh_North,37.35244,-122.00813000000001,Condominium,434000.0,-0.890303260182919,2
139.0,Neigh_South,37.39999,-121.88438000000001,Condominium,485174.0,-0.8950802182277314,2
148.0,Neigh_South,37.31114,-121.93858,Condominium,505220.0,-0.8927193790377574,3
106.0,Neigh_North,37.41534,-121.90391000000001,Condominium,516264.0,-0.9248075698517844,2
119.0,Neigh_South,37.31118,-121.87992,Condominium,567000.0,-0.9231393593190481,3
169.0,Neigh_South,37.28714,-121.84223999999999,Townhouse,594907.0,-0.8959654187884879,5
184.0,Neigh_North,37.408,-121.90024,Condominium,609886.0,-0.889513489723643,6
120.0,Neigh_North,37.4237,-121.91208,Townhouse,619152.0,-0.9290219500011732,4
149.0,Neigh_South,37.34106,-121.89367,Condominium,652924.0,-0.916427434633559,2
175.0,Neigh_North,37.35067,-122.01555,Condominium,660429.0,-0.9029597266542796,2
225.0,Neigh_South,37.322540000000004,-121.94765,Condominium,672898.0,-0.8775458865620969,4
